"","Date","Site","Latitude","Longitude","HardCoral_Other","HardCoral_StressTol","HydroCoral","Macroalgae","SoftCoral","SmallAlgae_orBare","Sand","Unknown_or_Other"
"49",2013,"LTER 1",-17.47913579,-149.83770635,5.53,2.59,0.15,8.21,0,75.09,8.27,0.16
"50",2013,"LTER 2",-17.473540635,-149.8039267,7.83,2.17,0.48,4.68,0,80,4.66,0.17
"51",2013,"LTER 3",-17.512345915,-149.76142935,2.18,1.58,0.04,4.17,0.01,82.76,9.1,0.15
"52",2013,"LTER 4",-17.54184642,-149.76698615,2.14,8.32,1.4,2.94,0,66,19.08,0.12
"53",2013,"LTER 5",-17.580002725,-149.8715382,14.7,4.35,0.04,4.87,0.23,70.79,4.34,0.69
"54",2013,"LTER 6",-17.517878605,-149.9230353,4.73,10.24,0.78,6.43,0,72.79,4.88,0.15
"55",2014,"LTER 1",-17.47913579,-149.83770635,10.23,4.11,0.22,6.42,0,67.55,11.34,0.13
"56",2014,"LTER 2",-17.473540635,-149.8039267,8.91,2.98,0.8,5.89,0,79.26,2.05,0.11
"57",2014,"LTER 3",-17.512345915,-149.76142935,3.17,1.74,0.03,1.99,0,82.86,9.85,0.36
"58",2014,"LTER 4",-17.54184642,-149.76698615,3.68,6.27,1.54,2.67,0,64.44,21.34,0.07
"59",2014,"LTER 5",-17.580002725,-149.8715382,15.63,5.25,0.02,1.86,0.34,69.62,6.47,0.82
"60",2014,"LTER 6",-17.517878605,-149.9230353,6.09,10.95,0.95,4.86,0,72.16,4.85,0.14
"61",2015,"LTER 1",-17.47913579,-149.83770635,17.46,5.61,0.24,11.65,0,55.99,8.88,0.17
"62",2015,"LTER 2",-17.473540635,-149.8039267,12.6,4.43,1.05,6.75,0,72.79,2.21,0.17
"63",2015,"LTER 3",-17.512345915,-149.76142935,3.5,1.89,0.01,2.83,0.03,80.13,11.51,0.12
"64",2015,"LTER 4",-17.54184642,-149.76698615,6.56,6.78,0.9,1.94,0,61.8,21.3,0.71
"65",2015,"LTER 5",-17.580002725,-149.8715382,20.21,6.25,0.01,1.14,0.39,64.98,6.33,0.68
"66",2015,"LTER 6",-17.517878605,-149.9230353,10.61,8.96,0.85,16.17,0,59.09,4.22,0.09
"67",2016,"LTER 1",-17.47913579,-149.83770635,22.79,6.54,0.37,14.26,0,50.63,5.33,0.07
"68",2016,"LTER 2",-17.473540635,-149.8039267,16.39,4.16,1.04,10.05,0,67.52,0.83,0.01
"69",2016,"LTER 3",-17.512345915,-149.76142935,4.2,2.69,0.09,3.86,0,80.18,8.32,0.66
"70",2016,"LTER 4",-17.54184642,-149.76698615,10.84,9.74,0.35,2.33,0,53.42,22.74,0.57
"71",2016,"LTER 5",-17.580002725,-149.8715382,25.01,7.39,0.2,1.22,0,53.81,10.55,1.82
"72",2016,"LTER 6",-17.517878605,-149.9230353,13.79,4.93,0.84,10.98,0,63.6,5.36,0.49
"73",2017,"LTER 1",-17.47913579,-149.83770635,27.58,5.57,0.38,10.66,0,45.42,9.61,0.77
"74",2017,"LTER 2",-17.473540635,-149.8039267,21.53,5.92,0.82,7.8,0,58.41,4.12,1.42
"75",2017,"LTER 3",-17.512345915,-149.76142935,4.7,2.38,0.08,7.27,0,68.26,15.06,2.25
"76",2017,"LTER 4",-17.54184642,-149.76698615,11.14,10.54,1.07,0.94,0,51.98,22.44,1.91
"77",2017,"LTER 5",-17.580002725,-149.8715382,30.69,7.36,0.04,0.55,0,51.16,7.71,2.49
"78",2017,"LTER 6",-17.517878605,-149.9230353,17.56,5.33,0.77,17.23,0,51.12,7.11,0.88
"79",2018,"LTER 1",-17.47913579,-149.83770635,30.78,5.74,0.41,7.24,0,40.33,15.34,0.16
"80",2018,"LTER 2",-17.473540635,-149.8039267,26.79,6,0.91,8.53,0,53.93,3.6,0.24
"81",2018,"LTER 3",-17.512345915,-149.76142935,6.95,3.08,0.03,6.73,0.02,67.51,15.61,0.06
"82",2018,"LTER 4",-17.54184642,-149.76698615,16.21,10.36,0.32,1.74,0,48.47,22.81,0.09
"83",2018,"LTER 5",-17.580002725,-149.8715382,38.15,7.18,0.06,0.8,0.3,43.7,9.28,0.52
"84",2018,"LTER 6",-17.517878605,-149.9230353,20.75,5.74,0.66,13.63,0,48.76,10.25,0.22
"85",2019,"LTER 1",-17.47913579,-149.83770635,33.31,5.64,0.38,10,0,28.42,22.01,0.24
"86",2019,"LTER 2",-17.473540635,-149.8039267,28.46,6.76,0.88,18.75,0,33.7,11.15,0.3
"87",2019,"LTER 3",-17.512345915,-149.76142935,8.34,3.78,0.08,9.49,0.12,49.96,27.88,0.35
"88",2019,"LTER 4",-17.54184642,-149.76698615,16.48,10.56,0.93,1.64,0,39.52,30.67,0.18
"89",2019,"LTER 5",-17.580002725,-149.8715382,39.33,6.66,0.07,2.17,0.18,35.29,15.27,1.03
"90",2019,"LTER 6",-17.517878605,-149.9230353,21.89,5.53,0.59,18.97,0,35.5,17.44,0.08
"91",2020,"LTER 1",-17.47913579,-149.83770635,13.11,10.12,0.11,18.26,0,54.65,0.19,3.61
"92",2020,"LTER 2",-17.473540635,-149.8039267,18.41,5.19,0.28,36.46,0,38.52,1.52,0.12
"93",2020,"LTER 3",-17.512345915,-149.76142935,9.6,10.23,0.09,10.21,0,69.82,0,0.05
"94",2020,"LTER 4",-17.54184642,-149.76698615,15.24,33.33,0.17,2.24,0,47.97,0.05,1.02
"95",2020,"LTER 5",-17.580002725,-149.8715382,36.49,5.53,0,4.82,0.08,52.95,0,0.13
"96",2020,"LTER 6",-17.517878605,-149.9230353,11.2,4.83,0.15,41.73,0,41.71,0.21,0.23
"97",2021,"LTER 1",-17.47913579,-149.83770635,11.29,3.98,0.21,17.75,0,61.12,5.62,0.01
"98",2021,"LTER 2",-17.473540635,-149.8039267,11.3,4.6,0.1,20.2,0,62.05,1.71,0.03
"99",2021,"LTER 3",-17.512345915,-149.76142935,9.24,3.74,0.05,13.79,0.02,64.8,8.09,0.26
"100",2021,"LTER 4",-17.54184642,-149.76698615,12.92,9.21,0.07,8.21,0,50.96,18.61,0.02
"101",2021,"LTER 5",-17.580002725,-149.8715382,27.4,5.6,0.02,10.48,0.35,54.48,1.61,0.06
"102",2021,"LTER 6",-17.517878605,-149.9230353,7.43,3.27,0.28,33.65,0,54.19,1.18,0
"103",2022,"LTER 1",-17.47913579,-149.83770635,9.04,3.96,0.16,23.92,0,59.14,3.76,0.03
"104",2022,"LTER 2",-17.473540635,-149.8039267,9.47,3.48,0.16,21.03,0,64.59,1.15,0.12
"105",2022,"LTER 3",-17.512345915,-149.76142935,9.12,3,0.08,14.22,0.06,65.53,7.63,0.36
"106",2022,"LTER 4",-17.54184642,-149.76698615,13.66,7.53,0.3,9.95,0.03,47.67,20.82,0.04
"107",2022,"LTER 5",-17.580002725,-149.8715382,21.62,4.89,0,10.02,0.44,61.01,1.45,0.57
"108",2022,"LTER 6",-17.517878605,-149.9230353,5.92,3.67,0.13,24.87,0,64.39,1,0.03
