"","Date","Site","Latitude","Longitude","HardCoral","Macroalgae","SmallAlgae","Other","Sand"
"89",2019,"LTER 5",-17.580002725,-149.8715382,45.99,2.17,35.29,1.28,15.27
"90",2019,"LTER 6",-17.517878605,-149.9230353,27.42,18.97,35.5,0.67,17.44
"91",2020,"LTER 1",-17.47913579,-149.83770635,23.23,18.26,54.65,3.72,0.19
"92",2020,"LTER 2",-17.473540635,-149.8039267,23.6,36.46,38.52,0.4,1.52
"93",2020,"LTER 3",-17.512345915,-149.76142935,19.83,10.21,69.82,0.14,0
"94",2020,"LTER 4",-17.54184642,-149.76698615,48.57,2.24,47.97,1.19,0.05
"95",2020,"LTER 5",-17.580002725,-149.8715382,42.02,4.82,52.95,0.21,0
"96",2020,"LTER 6",-17.517878605,-149.9230353,16.03,41.73,41.71,0.38,0.21
"97",2021,"LTER 1",-17.47913579,-149.83770635,15.27,17.75,61.12,0.22,5.62
"98",2021,"LTER 2",-17.473540635,-149.8039267,15.9,20.2,62.05,0.13,1.71
"99",2021,"LTER 3",-17.512345915,-149.76142935,12.98,13.79,64.8,0.33,8.09
"100",2021,"LTER 4",-17.54184642,-149.76698615,22.13,8.21,50.96,0.09,18.61
"101",2021,"LTER 5",-17.580002725,-149.8715382,33,10.48,54.48,0.43,1.61
"102",2021,"LTER 6",-17.517878605,-149.9230353,10.7,33.65,54.19,0.28,1.18
"103",2022,"LTER 1",-17.47913579,-149.83770635,13,23.92,59.14,0.19,3.76
"104",2022,"LTER 2",-17.473540635,-149.8039267,12.95,21.03,64.59,0.28,1.15
"105",2022,"LTER 3",-17.512345915,-149.76142935,12.12,14.22,65.53,0.5,7.63
"106",2022,"LTER 4",-17.54184642,-149.76698615,21.19,9.95,47.67,0.37,20.82
"107",2022,"LTER 5",-17.580002725,-149.8715382,26.51,10.02,61.01,1.01,1.45
"108",2022,"LTER 6",-17.517878605,-149.9230353,9.59,24.87,64.39,0.16,1
